Date,Open,High,Low,Close,Volume
2014-12-31,24.86716467637187,24.936168189454083,24.76365858416179,24.893041610717773,2154700
2015-01-02,24.686028692693625,24.85853663618931,24.60839954230989,24.74640655517578,2421600
2015-01-05,24.51351910694616,24.6170251891946,23.95286541146498,24.082246780395508,3434400
2015-01-06,24.07362282681764,24.07362282681764,23.590598247812984,23.728605270385742,1992700
2015-01-07,23.823481954984533,24.021866812972608,23.685473309021933,23.754478454589844,2172200
2015-01-08,23.918365276193107,24.168504040798872,23.918365276193107,24.047746658325195,1524800
2015-01-09,24.039121008984907,24.073621940771528,23.771730973064866,23.840734481811523,2828900
2015-01-12,23.650977133165938,23.68547806770831,23.32321085173244,23.461217880249023,2488700
2015-01-13,23.547469122111522,23.702727427845954,23.11619678181517,23.357709884643555,1601200
2015-01-14,23.133447585210693,23.21970238049607,22.779804405196682,23.211076736450195,3654800
2015-01-15,23.452591965805382,23.452591965805382,23.073071819159406,23.081697463989258,2980300
2015-01-16,22.952314353032722,23.53884499589491,22.952314353032722,23.512968063354492,2105000
2015-01-20,23.504342120848445,23.521593408989762,23.219702447210242,23.236953735351562,1626200
2015-01-21,23.305957794189453,23.45259045651338,23.15069948759077,23.305957794189453,2590700
2015-01-22,23.305958147034417,23.633724408570135,23.305958147034417,23.504343032836914,1732100
2015-01-23,23.495716774994214,23.668226368250178,23.469839842453798,23.512968063354492,1835700
2015-01-26,23.461214678786128,23.538843827380305,23.349082955184166,23.45258903503418,1180900
2015-01-27,23.32320796549243,23.668225494088073,23.32320796549243,23.625097274780273,2233300
2015-01-28,23.6337237512054,23.642349395370825,23.01269217785568,23.029943466186523,1797500
2015-01-29,23.029945378685536,23.10757453744756,22.59004736075856,22.92643928527832,2561800
2015-01-30,22.581419420033942,23.090320900101425,22.469287693145375,22.805681228637695,3414300
2015-02-02,22.986813408457945,23.461213928605847,22.986813408457945,23.409460067749023,1980300
2015-02-03,23.6682233859655,24.203000096362988,23.616469527405847,24.03911781311035,4998000
2015-02-04,23.78035446595423,23.866609255377647,23.487089169018574,23.590595245361328,2442400
2015-02-05,23.745856708689917,24.116749555951007,23.737231064078244,24.056371688842773,2715400
2015-02-06,23.961490134106345,24.142623714609883,23.719977048261654,23.814857482910156,1532200
2015-02-09,23.883863798840846,24.159877846491437,23.883863798840846,23.978742599487305,1471900
2015-02-10,23.970116395049736,23.970116395049736,23.650974153577724,23.806232452392578,1989500
2015-02-11,23.633726113096177,23.80623572329795,23.590599533132522,23.737232208251953,2144800
2015-02-12,24.021868790417816,24.159875802567726,23.94423964043682,24.13399887084961,1593900
2015-02-13,24.297882138543347,24.392762573696036,24.177126417565965,24.220252990722656,2050500
2015-02-17,24.33238357083835,24.548019731424326,24.203002203521432,24.47039222717285,963300
2015-02-18,24.24612923945528,24.306507098244985,24.099496591606016,24.203001022338867,1445600
2015-02-19,23.90973725250216,24.073621197656664,23.8234841031114,24.00461769104004,1191200
2015-02-20,24.030494617184978,24.064995547898313,23.866610672069864,23.901111602783203,1174700
2015-02-23,23.857985028098188,23.987366397326596,23.76310458958312,23.901111602783203,2517200
2015-02-24,23.88385952777779,24.073618740310256,23.797604742018233,24.03911781311035,2584900
2015-02-25,24.20300286748853,24.315134595366445,24.11674807185322,24.28063201904297,945000
2015-02-26,24.21162733758138,24.341008702174125,24.108122903976504,24.11674690246582,987500
